1jqm,0.00,0.00,0.00,3.4,4.8
2rok,1.60,1.60,0.00,52.4,101.9
4ka4,5.50,5.20,1.40,8.6,16.9
1uqc,0.00,0.00,0.00,2.3,2.5
2q1u,5.10,5.10,1.90,31.1,54.1
3upz,4.10,4.10,1.50,17.9,29.8
1ysm,3.20,3.20,0.00,30.3,78.0
4ee1,2.40,2.20,0.80,13.7,24.0
3fju,7.10,6.70,1.90,17.8,32.2
4kfp,6.90,6.70,1.80,26.7,76.9
3cuf,4.70,4.50,0.80,12.6,27.3
4fti,3.50,2.90,1.60,12.2,18.5
2xkq,8.20,8.00,1.60,62.4,121.1
1s74,0.00,0.00,0.00,3.1,2.6
3oj8,4.30,4.30,1.30,40.4,94.2
4k6b,6.80,4.60,1.10,14.9,36.8
3nio,2.90,2.90,1.20,44.6,78.5
3okp,3.40,2.90,1.40,15.0,26.5
3b6p,4.80,4.50,1.20,37.2,61.0
3nfw,1.70,1.70,0.60,24.5,44.8
2len,0.50,0.50,0.00,117.8,228.1
3iuf,3.90,3.90,0.00,3.8,1.8
1not,5.10,5.10,0.00,3.1,1.0
2j7j,0.70,0.70,0.00,7.2,6.1
3tcv,5.30,5.20,0.70,19.0,36.5
3ot0,0.00,0.00,1.50,2.7,4.3
3tyv,5.10,4.80,1.60,42.2,91.0
2k7q,0.20,0.20,0.00,92.9,180.3
1fa3,1.20,1.20,0.00,55.2,118.5
3h3l,5.10,5.00,1.80,27.5,55.7
3izm,8.20,8.20,1.50,184.0,520.5
1dby,6.90,6.90,0.00,87.1,224.7
3pgw,1.00,1.00,1.00,6.8,6.6
3kx6,5.30,5.10,1.60,48.1,103.4
2f7c,8.60,5.70,1.40,10.6,17.0
1ay3,8.50,8.50,0.00,4.8,9.8
3k7h,10.10,9.40,1.60,6.8,12.5
1rje,2.70,2.60,1.20,31.3,74.1
1p8g,8.10,8.10,0.00,60.4,141.0
1ghg,1.60,1.60,1.80,3.0,2.9
4avw,6.70,6.70,1.90,15.3,31.0
4geb,4.80,4.70,1.60,25.2,62.9
3tly,4.60,4.50,1.70,25.2,56.2
3nht,4.10,3.90,1.00,13.8,26.5
2pbo,5.50,4.90,1.90,16.4,30.9
2y6m,7.10,6.70,1.80,11.9,21.8
4da5,3.50,3.40,1.10,19.4,45.4
3dw0,7.00,5.90,1.70,15.3,38.3
4dgu,5.10,4.70,1.90,17.9,26.1
4ma5,5.30,4.90,1.10,17.6,25.7
3tsc,5.60,5.30,1.80,38.7,85.7
1c7m,11.20,11.20,0.00,53.2,116.9
3pf0,2.00,1.80,1.70,13.2,20.3
4kzk,4.70,3.90,0.90,12.6,23.9
4m8u,9.00,8.50,1.70,25.9,50.2
1jar,3.70,3.70,0.00,17.0,24.6
1vtu,21.80,19.40,5.30,3.6,2.0
1nuj,9.80,4.20,0.00,8.5,18.1
3ngj,4.70,4.70,1.50,37.7,68.9
1jqs,0.00,0.00,0.00,3.3,2.7
3jxq,4.30,3.30,0.00,3.9,5.3
1s75,0.00,0.00,0.00,3.0,2.7
2ril,8.00,5.70,1.80,6.7,7.8
2m07,8.20,8.20,0.00,68.3,132.0
3iqt,7.30,5.90,1.00,7.7,9.6
2jlt,4.60,2.70,0.00,4.2,5.1
1jqt,0.00,0.00,0.00,3.1,2.4
1s9l,0.00,0.00,0.00,7.9,47.0
3kyv,11.40,9.30,0.00,4.7,4.2
3npx,4.20,4.20,1.60,19.1,34.3
1ayj,4.00,4.00,0.00,27.4,71.2
1kvp,2.00,2.00,0.00,3.5,2.1
4eic,18.90,18.90,1.40,6.4,7.6
3ksu,3.80,3.60,1.80,16.0,26.9
2lzh,0.00,0.00,0.00,3.1,2.3
4epd,4.40,4.00,1.40,26.8,54.1
4mbl,1.40,1.40,0.00,9.5,17.6
3kyw,3.40,3.40,0.00,4.7,3.4
1mi6,0.00,0.00,0.00,3.5,2.7
2nls,9.70,9.70,0.00,4.2,2.6
3k50,7.90,6.80,1.00,15.7,29.4
1o55,66.70,0.00,0.00,2.2,0.4
1do4,10.80,10.80,0.80,10.7,13.0
3qua,7.70,7.70,1.70,15.2,26.3
3stu,4.30,4.20,2.00,20.0,34.7
2ay7,18.70,18.30,8.60,21.1,51.5
1mvr,2.00,2.00,0.00,4.0,2.9
2zm0,7.10,6.30,1.40,12.4,30.1
1pve,0.10,0.10,0.00,37.4,82.6
1o56,75.90,0.00,0.00,2.3,0.3
3laa,2.80,1.20,0.00,8.0,9.2
2obz,0.00,0.00,0.00,2.7,2.5
2eux,5.80,5.10,1.40,17.7,26.7
1bwi,8.30,8.30,1.00,6.1,8.4
1o8v,2.60,2.60,0.00,7.8,9.6
1n8e,2.20,1.50,1.50,4.7,5.1
4gci,3.90,3.80,1.10,16.0,33.9
